,support,itemsets
0,0.56,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]'})"
1,0.62,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Rural(%): (-0.094, 31.333]'})"
2,0.56,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]'})"
3,0.56,"frozenset({'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})"
4,0.56,"frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})"
5,0.56,"frozenset({'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})"
6,0.56,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})"
7,0.56,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]'})"
8,0.56,"frozenset({'Poorest(%): (-0.086, 28.667]', 'Total(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})"
9,0.56,"frozenset({'Total(%): (-0.095, 31.667]', 'Richest(%): (-0.095, 31.667]', 'Rural(%): (-0.094, 31.333]'})"
